	Main Socket 1151 v2		
191639	Mainboard Asus WS C246 Pro	6,890,000đ	36(tháng)
184763	Mainboard Gigabyte B365M D2V	1,200,000đ	36(tháng)
184755	Mainboard Asrock (B360M-Hdv/M/Asrk)	1,240,000đ	36(tháng)
184747	Mainboard Asrock B365M Pro4 (90-MXB9T0-A0UAYZ)	1,350,000đ	36(tháng)
184728	Mainboard Asus ROG Strix B360-G Gaming	1,890,000đ	36(tháng)
184720	Mainboard Gigabyte B360M Aorus Gaming 3	1,950,000đ	36(tháng)
129029	Mainboard Asus EX-B360M-V	1,300,000đ	36(tháng)
169829	Mainboard Asrock Z390 Phantom Gaming 4S/AC (No Box)	1,250,000đ	12(tháng)
157609	Mainboard Gigabyte H310M H	1,390,000đ	36(tháng)
157610	Mainboard Gigabyte H310M DS2	1,390,000đ	36(tháng)
122415	Mainboard Asrock Z390 Extreme4 (No Box)	1,790,000đ	6(tháng)
113996	Mainboard Server Asus C242 P11C-X/AUDIO (Socket 1151)	3,590,000đ	36(tháng)
113823	Mainboard Asrock Z390 Phantom Gaming 7	5,500,000đ	36(tháng)
82278	Mainboard MSI B365M Wind	1,150,000đ	36(tháng)
77584	Mainboard Colorful H310M-E Pro V20	1,190,000đ	48(tháng)
64369	Mainboard Gigabyte B360 Aorus Gaming 3	1,900,000đ	36(tháng)
52010	Mainboard Gigabyte Z390 Aorus (Mã GA-Z390 Aorus Master)	6,900,000đ	36(tháng)
38471	Mainboard MSI H310M S03 M.2 (No Box)	1,280,000đ	36(tháng)
35967	Mainboard Asus TUF Z390-Plus Gaming	3,850,000đ	36(tháng)
35285	Mainboard MSI H310M Pro VDH Plus	1,090,000đ	36(tháng)
34137	Mainboard Asus H310M-E R2.0/CSM Prime	920,000đ	36(tháng)
32614	Mainboard Asrock H310CM-HDV	950,000đ	36(tháng)
32013	Mainboard Asus Prime Z390-P	2,745,000đ	36(tháng)
32002	Mainboard Asus TUF Z390M-Pro Gaming (Wifi)	4,950,000đ	36(tháng)
25489	Mainboard Asrock Z390 Pro 4	2,690,000đ	36(tháng)
25334	Mainboard MSI B365M MAG Mortar	1,860,000đ	36(tháng)
23732	Mainboard Asus H310M-F R2.0 Prime	1,250,000đ	36(tháng)
23549	Mainboard Gigabyte B365M D3H	2,030,000đ	36(tháng)
23543	Mainboard Asrock B365M-HDV	1,380,000đ	36(tháng)
23536	Mainboard MSI B360M Gaming Plus	1,450,000đ	36(tháng)
23530	Mainboard Colorful H310M-E V21	850,000đ	36(tháng)
23462	Mainboard MSI Z390-A Pro	2,850,000đ	36(tháng)
